7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.0-1
acl 2.3.2-1
adobe-source-han-sans-otc-fonts 2.005-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.7-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20250808-1
aom 3.13.0-1
appstream 1.0.6-1
aquamarine 0.9.4-1
archlinux-keyring 20250807.1-1
aribb25 0.2.7-3
at-spi2-core 2.56.4-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
avfs 1.2.0-1
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bibata-cursor-theme-bin 2.0.7-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
boost-libs 1.88.0-3
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.4-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.115.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.2-1
chromium 139.0.7258.154-1
cifs-utils 7.4-1
clang 20.1.8-1
cliphist 1:0.6.1-1
cmake 4.1.1-1
compiler-rt 20.1.8-1
composefs 1.0.8-1
confuse 3.3-4
coreutils 9.7-1
cppdap 1.58.0-2
cryfs 1.0.1-4
cryptsetup 2.8.1-1
cups 2:2.4.12-2
cups-filters 2.0.1-2
curl 8.15.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.40.0-3
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.34-1
diffutils 3.12-2
docparser 1.0.3-4
double-conversion 3.3.1-1
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-1
efibootmgr 18-3
efivar 39-1
enchant 2.8.12-1
exempi 2.6.6-2
exiv2 0.28.7-1
expat 2.7.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.51.1-1
fcitx5 5.1.14-1
fcitx5-bamboo 1.0.8-1
fcitx5-configtool 5.1.10-1
fcitx5-gtk 5.1.4-1
fcitx5-qt 5.1.10-2
fd 10.3.0-1
ffmpeg 2:7.1.1-5
ffmpeg4.4 4.4.6-2
ffnvcodec-headers 13.0.19.0-1
fftw 3.3.10-7
file 5.46-5
filesystem 2025.05.03-1
findutils 4.10.0-3
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fluidsynth 2.4.8-1
fmt 11.2.0-1
fontconfig 2:2.17.1-1
fontforge 20230101-6
freeglut 3.6.0-2
freetype2 2.13.3-3
fribidi 1.0.16-2
ftgl 2.4.0-3
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fzf 0.65.2-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gcr-4 4.4.0.1-1
gdbm 1.26-1
gdk-pixbuf2 2.42.12-2
gettext 0.26-1
ghostty 1.1.3-1
ghostty-shell-integration 1.1.3-1
ghostty-terminfo 1.1.3-1
giflib 5.2.2-2
gio-qt 0.0.12-2
git 2.51.0-1
gitg 2:44-9
github-cli 2.78.0-1
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.4-2
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glm 1.0.1-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
